,amenities
4263,"['Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Coffeemaker', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'Hotwater', 'TV', 'Bedlinens', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Extrapillowsandblankets', 'Oven', 'Patioorbalcony', 'Hostgreetsyou']"
4264,"['Coffeemaker:Nespresso', 'Essentials', 'Waterfront', 'Minifridge', 'Exteriorsecuritycamerasonproperty', 'Privateentrance', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Soundsystem', 'Hotwaterkettle', 'Wineglasses', 'Boatslip', 'Firstaidkit', 'Hotwater', 'Lockbox', 'Bedlinens', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Bodysoap', 'Fireextinguisher', 'Clothingstorage', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
4265,"['Coffeemaker:Nespresso', 'Essentials', 'Dishwasher', 'Cityskylineview', 'Washer', 'Dryingrackforclothing', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Hotwaterkettle', 'Alexasoundsystem', 'Dryer', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
4266,"['49inchHDTVwithHBOMax', 'AppleTV', 'Chromecast', 'Netflix', 'standardcable', 'Recordplayer', 'Shampoo', 'Sunloungers', 'Stainlesssteelsingleoven', 'Essentials', 'Dishwasher', 'EVcharger', 'Showergel', 'Coffeemaker:espressomachine', 'Cityskylineview', 'Privateentrance', 'Blender', 'Indoorfireplace:wood-burning', 'SoundsystemwithBluetoothandaux', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Privatepatioorbalcony', 'Fastwifi208Mbps', 'Outdoordiningarea', 'Arcadegames', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Toaster', 'Babysitterrecommendations', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Clothingstorage:closet', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Fireplaceguards', 'Kitchen', 'Lockbox', 'Portablefans', 'Carbonmonoxidealarm', 'Merkloosstainlesssteelgasstove', 'Gameconsole:NintendoSwitch', 'Heating', 'Dishesandsilverware', 'Paidparkinggarageoffpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Fireextinguisher', 'Ricemaker', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
4267,"['Shampoo', 'Singlelevelhome', 'Pocketwifi', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Privateentrance', 'Trashcompactor', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Coffeemaker', 'Coffee', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Soundsystem', 'Toaster', 'Dryer', 'Iron', 'Wineglasses', 'Cleaningavailableduringstay', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Exerciseequipment', 'Carbonmonoxidealarm', 'Ethernetconnection', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Boardgames', 'Oven', 'Fireextinguisher', 'Patioorbalcony', 'Clothingstorage', 'Outdoorplayground', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
4268,"['Carbonmonoxidealarm', 'Wifi', 'Heating', 'Iron', 'Hairdryer', 'Privateentrance', 'Canalview', 'Essentials', 'Fireextinguisher', 'TV', 'Gardenview', 'Cityskylineview', 'Kitchen', 'Indoorfireplace', 'Courtyardview', 'Smokealarm']"
4269,"['Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Minifridge', 'Privateentrance', 'Washer', 'Dryingrackforclothing', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Dryer', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Gardenview', 'Booksandreadingmaterial', 'Bedlinens', 'Kitchen', 'Lockbox', 'Stainlesssteeloven', 'Coffeemaker:dripcoffeemaker', 'frenchpress', 'Nespresso', 'Heating', 'Dishesandsilverware', 'Bodysoap', 'Extrapillowsandblankets', 'Gameconsole:PS4', 'Clothingstorage', 'Selfcheck-in', 'Diningtable', 'Hotwaterkettle']"
4270,"['Shampoo', 'Essentials', 'Dishwasher', 'Changingtable', 'Privateentrance', 'Babysafetygates', 'TVwithstandardcable', 'Washer', 'Coffeemaker', 'Highchair', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Babysitterrecommendations', 'Dryer', 'Iron', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Bedlinens', 'Hangers', 'Kitchen', 'Tablecornerguards', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Crib', 'Babybath', 'Outletcovers', 'Oven', 'Paidparkingonpremises', 'Patioorbalcony', 'Childrensdinnerware', 'Hostgreetsyou']"
4271,"['Shampoo', 'Dishwasher', 'Showergel', 'Blender', 'Smokingallowed', 'Washer', 'Coffeemaker', 'Outdoordiningarea', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Hotwaterkettle', 'Toaster', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Kitchen', 'Exerciseequipment', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Bodysoap', 'Oven', 'Fireextinguisher', 'Coffee', 'Hostgreetsyou', 'Microwave']"
4272,"['Wifi16Mbps', 'Shampoo', 'Essentials', 'Coffeemaker', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Iron', 'Breakfast', 'Freestreetparking', 'Firstaidkit', 'Hotwater', 'Smartlock', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Fireextinguisher', 'Freedryer', 'Selfcheck-in', 'Petsallowed', '27inchHDTVwithstandardcable']"
4273,"['Paidstreetparkingoffpremises', 'Waterfront', 'Minifridge', 'Exteriorsecuritycamerasonproperty', 'Pool', 'Privateentrance', 'Luggagedropoffallowed', 'Outdoorfurniture', 'Longtermstaysallowed', 'Outdoordiningarea', 'Toaster', 'Smokealarm', 'Lockonbedroomdoor', 'Wifi', 'Wineglasses', 'Kitchenette', 'Boatslip', 'Firstaidkit', 'Hotwater', 'Clothingstorage:closet', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Carbonmonoxidealarm', 'Centralheating', 'Ethernetconnection', 'BeachaccessBeachfront', 'Dishesandsilverware', 'Lakeaccess', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Fireextinguisher', 'Bikes', 'Coffee', 'Hostgreetsyou', 'Hotwaterkettle']"
4274,"['Shampoo', 'Minifridge', 'Childrensdinnerware', 'Privateentrance', 'TVwithstandardcable', 'Coffeemaker', 'Selfcheck-in', 'Freeparkingonpremises', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'Wineglasses', 'Breakfast', 'Freestreetparking', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Backyard', 'Privatelivingroom', 'Oven', 'Fireextinguisher', 'Clothingstorage', 'Airconditioning', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
4275,"['Essentials', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Coffeemaker', 'Dedicatedworkspace', 'Smokealarm', 'Wifi', 'Dryer', 'Iron', 'Firstaidkit', 'Hotwater', 'Lockbox', 'Bedlinens', 'Hangers', 'Portablefans', 'Heating', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Fireextinguisher', 'Clothingstorage', 'Selfcheck-in', 'Coffee', 'Hotwaterkettle']"
4277,"['Coffeemaker:Nespresso', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Privatebackyard', 'Washer', 'Outdoorfurniture', 'Privatepatioorbalcony', 'Othergasstove', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Wineglasses', 'Hotwater', 'Hangers', 'Kitchen', 'Bedlinens', 'Microwave', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Oven', 'Diningtable', 'Hotwaterkettle']"
4278,"['Toaster', 'PrivateBBQgrill', 'FreewasherInbuilding', 'Recordplayer', 'Essentials', 'Dishwasher', 'Waterfront', 'Paidparkingoffpremises', 'Minifridge', 'Cityskylineview', 'Mosquitonet', 'Blender', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Piano', 'Privatepatioorbalcony', 'Boosterseathighchair-availableuponrequest', 'Crib-availableuponrequest', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Babysitterrecommendations', 'Soundsystem', 'Stove', 'Dryer', 'Iron', 'Hotwaterkettle', 'Wineglasses', 'HDTVwithstandardcable', 'Canalview', 'Firstaidkit', 'Hotwater', 'Hostgreetsyou', 'Bathtub', 'Ceilingfan', 'Bedlinens', 'Hangers', 'Fireplaceguards', 'Indoorfireplace', 'Kitchen', 'Portablefans', 'Carbonmonoxidealarm', 'Firepit', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Oven', 'Fireextinguisher', 'Laundromatnearby', 'Childrensdinnerware', 'Coffee', 'Packnplay/Travelcrib-availableuponrequest', 'Diningtable', 'Microwave']"
4279,"['Coffeemaker:Nespresso', 'Singlelevelhome', 'Essentials', 'Waterfront', 'EVcharger', 'Paidparkingoffpremises', 'Minifridge', 'Cityskylineview', 'Privateentrance', 'Longtermstaysallowed', 'Privatepatioorbalcony', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Wineglasses', 'Canalview', 'Cleaningavailableduringstay', 'Boatslip', 'Firstaidkit', 'Hotwater', 'Gardenview', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Portablefans', 'Centralheating', 'Portableheater', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'SharedbackyardNotfullyfenced', 'Hairdryer', 'Room-darkeningshades', 'Boardgames', 'Privatelivingroom', 'Oven', 'Fireextinguisher', 'Laundromatnearby', 'Selfcheck-in', 'Diningtable', 'Microwave']"
4281,"['Coffeemaker:Nespresso', 'Essentials', 'Dishwasher', 'Blender', 'Washer', 'Othergasstove', 'Toaster', 'Smokealarm', 'Refrigerator', 'Wifi', 'Wineglasses', 'Hotwater', 'TV', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Oven', 'Dryer\\u00a0Inunit', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
4282,"['Carbonmonoxidealarm', 'Wifi', 'Babysitterrecommendations', 'Heating', 'Iron', 'Childrensbooksandtoys', 'Hairdryer', 'Paidparkingonpremises', 'Highchair', 'Essentials', 'Fireextinguisher', 'Firstaidkit', 'Hotwater', 'Hostgreetsyou', 'Kitchen', 'Privateentrance', 'TVwithstandardcable', 'Smokealarm']"
4283,"['Dishwasher', 'Washer', 'Longtermstaysallowed', 'Coffeemaker', 'Selfcheck-in', 'Cookingbasics', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'TV', 'Lockbox', 'Kitchen', 'Bedlinens', 'Microwave', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Crib', 'Oven', 'Safe', 'Airconditioning', 'Hotwaterkettle']"
4284,"['Wifi', 'Centralheating', 'Hairdryer', 'Bodysoap', 'Bedlinens', 'Extrapillowsandblankets', 'Kitchen', 'Fireextinguisher', 'Firstaidkit', 'Hotwater', 'Clothingstorage:closet', 'Hangers', 'Cleaningproducts', 'Smokealarm']"
4285,"['Singlelevelhome', 'Essentials', 'TVwithstandardcable', 'Luggagedropoffallowed', 'Coffeemaker', 'Outdoordiningarea', 'BBQgrill', 'Standalonehighchair', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'Bedlinens', 'Kitchen', 'Hangers', 'Portablefans', 'Heating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Paidparkinggarageoffpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Backyard', 'Paidparkingonpremises', 'Oven', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
4287,"['Coffeemaker:Nespresso', 'Hammock', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Showergel', 'Blender', 'FreedryerInunit', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Babybath-availableuponrequest', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Patioorbalcony', 'Coffee', 'Diningtable', 'Microwave']"
4288,"['Wifi', 'Washer', 'Heating', 'Paidparkingonpremises', 'Hairdryer', 'Shampoo', 'Coffeemaker', 'Kitchen', 'Essentials', 'Paidparkingoffpremises', 'Hotwater', 'Hangers', 'TVwithstandardcable', 'Hostgreetsyou', 'Refrigerator']"
4289,"['Gasstove', 'Essentials', 'Dishwasher', 'Privatebackyard', 'Privateentrance', 'Washer', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffee', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Toaster', 'Hotwaterkettle', 'Petsallowed', 'Dryer', 'Iron', 'Hotwater', 'HDTVwithNetflix', 'Disney+', 'AmazonPrimeVideo', 'Bathtub', 'Babybath-availableuponrequest', 'Bedlinens', 'Hangers', 'Kitchen', 'Singleoven', 'Carbonmonoxidealarm', 'Centralheating', 'Changingtable-availableuponrequest', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Childrensbooksandtoysforages0-2yearsold', 'Sonossoundsystem', 'Extrapillowsandblankets', 'Boardgames', 'Paidparkingonpremises', 'Coffeemaker:espressomachine', 'Nespresso', 'Standalonehighchair-availableuponrequest', 'Laundromatnearby', 'Barbecueutensils', 'Outdoorplayground', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
4290,"['Wifi', 'Kitchen', 'TV', 'Paidparkingonpremises']"
4291,"['Hammock', 'Essentials', 'Dishwasher', 'Privateentrance', 'TVwithstandardcable', 'Mosquitonet', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Soundsystem', 'Hotwaterkettle', 'Dryer', 'Iron', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Portablefans', 'Ethernetconnection', 'Heating', 'Dishesandsilverware', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Oven', 'Fireextinguisher', 'Laundromatnearby', 'Coffee', 'Diningtable', 'Microwave']"
4292,"['Carbonmonoxidealarm', 'Paidparkingonpremises', 'Shampoo', 'Dedicatedworkspace', 'Conditioner', 'Hotwater', 'Showergel', 'Bathtub', 'Sharedbeachaccess', 'Kitchen', 'Airconditioning', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm']"
4293,"['EtnAoven', 'Recordplayer', 'Singlelevelhome', 'Dishwasher', 'Washer', 'Privatepatioorbalcony', 'Gameconsole', 'Boschrefrigerator', 'Cookingbasics', 'Cleaningproducts', 'Freezer', 'Petsallowed', 'Wifi', 'Soundsystem', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Hangers', 'Kitchen', 'Bedlinens', 'Exerciseequipment', 'Heating', 'Clothingstorage', 'Laundromatnearby', 'Coffeemaker:dripcoffeemaker', 'Coffee', 'Hostgreetsyou', 'Microwave']"
4294,"['HDTVwithNetflix', 'Shampoo', 'Singlelevelhome', 'Essentials', 'Pocketwifi', 'Dishwasher', 'EVcharger', 'Showergel', 'Blender', 'Dryingrackforclothing', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Toaster', 'Wineglasses', 'Clothingstorage:dresser', 'Conditioner', 'Hotwater', 'Bathtub', 'Gardenview', 'Ceilingfan', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Bodysoap', 'Room-darkeningshades', 'Oven', 'Laundromatnearby', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
4295,"['Keypad', 'Essentials', 'Bluetoothsoundsystem', 'Waterfront', 'Showergel', 'Minifridge', 'Luggagedropoffallowed', 'Coffeemaker', 'Ritualsbodysoap', 'Smokealarm', 'Freezer', 'Wifi', 'Wineglasses', 'Canalview', 'Firstaidkit', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Portablefans', 'Carbonmonoxidealarm', 'Inclusiefvriezerrefrigerator', 'Heating', 'Dishesandsilverware', 'Paidparkinggarageoffpremises', 'Hairdryer', 'Room-darkeningshades', 'Fireextinguisher', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
4296,"['Gasstove', 'Coffeemaker:Nespresso', 'Shampoo', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'EVcharger', 'Showergel', 'Privateentrance', 'Dryingrackforclothing', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffee', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Toaster', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Conditioner', 'Hotwater', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Singleoven', 'Bakingsheet', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'PrivatebackyardFullyfenced', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Sonossoundsystem', 'Boardgames', '45inchTVwithChromecast', 'Netflix', 'Clothingstorage', 'Laundromatnearby', 'Selfcheck-in', 'Outdoorplayground', 'Diningtable', 'Microwave']"
4297,"['Shampoo', 'Essentials', 'Dishwasher', 'Waterfront', 'EVcharger', 'Cityskylineview', 'Privateentrance', 'Blender', 'MIboxsoundsystem', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Privatepatioorbalcony', 'Housekeepingavailableeveryday-availableatextracost', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Coffeemaker:Nespresso', 'pour-overcoffee', 'Iron', 'Wineglasses', 'Canalview', 'Boatslip', 'Hotwater', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkinggarageoffpremises', 'Hairdryer', 'Extrapillowsandblankets', 'HDTVwithChromecast', 'DVDplayer', 'Otherelectricstove', 'Fireextinguisher', 'Ricemaker', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
4298,"['Carbonmonoxidealarm', 'Wifi', 'Heating', 'Essentials', 'Fireextinguisher', 'Selfcheck-in', 'Hotwater', 'Lockbox', 'Hangers', 'Privateentrance', 'Smokealarm', 'Refrigerator']"
4300,"['Wifi', 'Washer', 'Luggagedropoffallowed', 'Heating', 'Longtermstaysallowed', 'Hairdryer', 'Shampoo', 'Breakfast', 'Kitchen', 'Essentials', 'Freeparkingonpremises', 'Hotwater', 'Hostgreetsyou', 'Hangers', 'Privateentrance', 'Petsallowed', 'TVwithstandardcable', 'Smokealarm']"
4301,"['Outdoorshower', 'Childrensbooksandtoysforages0-2yearsoldand2-5yearsold', 'Toaster', 'Marinaview', 'Shampoo', 'Sunloungers', 'Essentials', 'Dishwasher', 'Bidet', 'Changingtable', 'Waterfront', 'EVcharger', 'Showergel', 'Privateentrance', 'Blender', 'FreedryerInunit', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Outdoorplayground', 'Privatepatioorbalcony', 'SonosBluetoothsoundsystem', 'Coffee', 'Outdoordiningarea', 'Crib-availableuponrequest', 'Freeparkingonpremises', 'Petsallowed', 'Cookingbasics', 'Organicbodysoap', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', '65inchHDTVwithAppleTV', 'Disney+', 'HBOMax', 'Netflix', 'Wifi', 'Babysitterrecommendations', 'Refrigerator', 'Freezer', 'Stove', 'Iron', 'Wineglasses', 'Harborview', 'Freestreetparking', 'Organicconditioner', 'Firstaidkit', 'Hotwater', 'Centralairconditioning', 'Bathtub', 'Gardenview', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Carbonmonoxidealarm', 'BeachaccessBeachfront', 'Gameconsole:NintendoSwitch', 'Heating', 'Dishesandsilverware', 'Lakeaccess', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'PrivatebackyardFullyfenced', 'Oven', 'Clothingstorage', 'Laundromatnearby', 'Firepit', 'Bikes', 'Childrensdinnerware', ""Children'splayroom"", 'Diningtable', 'Hotwaterkettle']"
4302,"['Shampoo', 'Dishwasher', 'Showergel', 'Privateentrance', 'Blender', 'Washer', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Stainlesssteelgasstove', 'Gameconsole', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Petsallowed', 'Soundsystem', 'Iron', 'Wineglasses', 'Coffeemaker:frenchpress', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Exerciseequipment', 'Portablefans', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Clothingstorage', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
4303,"['Shampoo', 'Dishwasher', 'Coffeemaker:dripcoffeemaker', 'Nespresso', 'Cleaningproducts', 'Freezer', 'Smokealarm', 'Toaster', 'Wifi', 'Refrigerator', 'Wineglasses', 'Conditioner', 'Hotwater', 'TV', 'Lockbox', 'Kitchen', 'Centralheating', 'Bodysoap', 'Extrapillowsandblankets', 'Oven', 'Selfcheck-in', 'Coffee', 'Microwave']"
4304,"['Paidstreetparkingoffpremises', 'Lifesizegames', 'Dishwasher', 'Luggagedropoffallowed', 'Dedicatedworkspace', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Iron', 'Firstaidkit', 'Hotwater', 'Gardenview', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Stainlesssteeloven', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Boardgames', 'Fireextinguisher', 'Laundromatnearby', 'Coffeemaker:dripcoffeemaker', 'Heating-splittypeductlesssystem', 'Bikes', 'Airconditioning', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
4305,"['Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Showergel', 'Privateentrance', 'FreedryerInunit', 'Washer', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Wineglasses', 'Canalview', 'Hotwater', 'TV', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Lakeaccess', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Oven', 'Laundromatnearby', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
4306,"['Paidstreetparkingoffpremises', 'Fastwifi82Mbps', 'Essentials', 'Dishwasher', 'Waterfront', 'Exteriorsecuritycamerasonproperty', 'Mosquitonet', 'Blender', 'FreedryerInunit', 'Childrensbikes', 'Dryingrackforclothing', 'Childrensbooksandtoysforages5-10yearsold', 'Coffeemaker', 'Outdoorplayground', 'Piano', 'Selfcheck-in', 'Privatepatioorbalcony', 'Coffee', 'Freeparkingonpremises', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Freezer', 'Refrigerator', 'Toaster', 'Babysitterrecommendations', 'Soundsystem', 'Inductionstove', 'Iron', 'Wineglasses', 'Elevator', 'Hotwater', 'Babybath-availableuponrequest', 'Gardenview', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Room-darkeningshades', 'Boardgames', 'Oven', 'Sharedbeachaccess', 'Parkview', 'Childrensdinnerware', ""Children'splayroom"", 'Diningtable', 'Microwave']"
